@RELATION snake_game_classification

@ATTRIBUTE snake_head_x NUMERIC
@ATTRIBUTE snake_head_y NUMERIC
@ATTRIBUTE food_x NUMERIC
@ATTRIBUTE food_y NUMERIC
@ATTRIBUTE snake_len NUMERIC
@ATTRIBUTE current_score NUMERIC
@ATTRIBUTE action {UP,DOWN,LEFT,RIGHT}

@DATA

80, 100, 160, 190, 35, 1625, UP
210, 170, 80, 180, 7, 233, LEFT
430, 210, 420, 180, 19, 955, RIGHT
360, 320, 380, 330, 45, 2321, LEFT
220, 150, 220, 260, 21, 960, DOWN
230, 110, 190, 20, 38, 1886, UP
200, 230, 180, 220, 46, 2365, LEFT
360, 330, 190, 20, 42, 2215, DOWN
220, 110, 30, 80, 43, 1932, LEFT
160, 160, 290, 250, 17, 741, LEFT
220, 160, 290, 250, 17, 747, LEFT
250, 130, 60, 140, 40, 1766, RIGHT
210, 190, 230, 120, 28, 1260, UP
130, 50, 130, 100, 3, -3, RIGHT
70, 270, 80, 270, 6, 148, DOWN
110, 190, 70, 240, 6, 90, DOWN
350, 430, 120, 380, 33, 1583, DOWN
70, 60, 170, 70, 10, 363, DOWN
150, 280, 390, 70, 8, 271, RIGHT
340, 130, 60, 140, 40, 1757, RIGHT
210, 330, 220, 390, 25, 1201, DOWN
180, 240, 200, 270, 5, 105, LEFT
390, 280, 380, 330, 45, 2330, RIGHT
190, 50, 80, 180, 34, 1562, DOWN
120, 460, 160, 460, 12, 482, RIGHT
440, 370, 420, 370, 47, 2072, RIGHT
130, 380, 410, 270, 14, 593, UP
220, 230, 180, 230, 4, 53, LEFT
220, 340, 410, 270, 14, 580, RIGHT
340, 280, 240, 110, 28, 1302, LEFT
370, 310, 240, 110, 28, 1308, UP
120, 50, 400, 430, 3, -2, RIGHT
130, 50, 190, 40, 24, 1154, LEFT
80, 50, 160, 190, 35, 1620, UP
80, 280, 140, 380, 44, 1956, RIGHT
190, 160, 180, 230, 4, 71, RIGHT
100, 420, 350, 270, 15, 625, LEFT
10, 200, 20, 160, 36, 1761, UP
160, 320, 290, 70, 30, 1404, LEFT
200, 250, 460, 60, 32, 1473, RIGHT
